metric,metric_label,cluster,cluster_name,raw_value,z_score
recency_median,距上次投保天數,0,海外日本主力客,287.0,-0.15705407190045687
recency_median,距上次投保天數,1,多目的地長天數高價值客,262.0,-1.1386420212783124
recency_median,距上次投保天數,2,臨行前快速投保客,324.0,1.2956960931787693
frequency_mean,平均投保次數,0,海外日本主力客,1.3611261301853355,-0.23037117512124805
frequency_mean,平均投保次數,1,多目的地長天數高價值客,1.4350218886804254,1.3235716356656726
frequency_mean,平均投保次數,2,臨行前快速投保客,1.320095389507154,-1.0932004605444292
total_premium_median,累積保費中位數,0,海外日本主力客,887.0,0.24523030831772982
total_premium_median,累積保費中位數,1,多目的地長天數高價值客,1230.0,1.083575780938806
total_premium_median,累積保費中位數,2,臨行前快速投保客,243.0,-1.3288060892565354
avg_premium_median,單筆保費中位數,0,海外日本主力客,745.0,0.2589335771683206
avg_premium_median,單筆保費中位數,1,多目的地長天數高價值客,1018.0,1.0745743452485308
avg_premium_median,單筆保費中位數,2,臨行前快速投保客,212.0,-1.3335079224168518
avg_days_mean,平均旅遊天數,0,海外日本主力客,8.038162856888192,-0.26944404674646016
avg_days_mean,平均旅遊天數,1,多目的地長天數高價值客,18.395486521289964,1.3370322700461381
avg_days_mean,平均旅遊天數,2,臨行前快速投保客,2.8923431015594514,-1.0675882232996776
intl_share_mean,海外旅遊占比,0,海外日本主力客,0.9857368973245846,0.6986813085646947
intl_share_mean,海外旅遊占比,1,多目的地長天數高價值客,0.9934439905171613,0.7154989213330332
intl_share_mean,海外旅遊占比,2,臨行前快速投保客,0.01746506206162917,-1.4141802298977284
japan_share_mean,日本目的地占比,0,海外日本主力客,0.4679547000892599,1.2359793235455685
japan_share_mean,日本目的地占比,1,多目的地長天數高價值客,0.2313208244705872,-0.022786894788389897
japan_share_mean,日本目的地占比,2,臨行前快速投保客,0.007537987786439799,-1.2131924287571787
multi_dest_share_mean,多目的地占比,0,海外日本主力客,0.0029400421674652902,-0.7037844550105331
multi_dest_share_mean,多目的地占比,1,多目的地長天數高價值客,0.8809436005691937,1.4142083672038712
multi_dest_share_mean,多目的地占比,2,臨行前快速投保客,0.00018768768768768769,-0.710423912193338
short_notice_share_mean,臨行前投保占比,0,海外日本主力客,0.6975754130093798,-0.8021091329273144
short_notice_share_mean,臨行前投保占比,1,多目的地長天數高價值客,0.7054172933162559,-0.607640483665931
short_notice_share_mean,臨行前投保占比,2,臨行前快速投保客,0.7867678439504907,1.4097496165932537
repurchase_rate_2025,2025 回購率,0,海外日本主力客,0.16701210537382477,0.173001167408972
repurchase_rate_2025,2025 回購率,1,多目的地長天數高價值客,0.17623514696685427,1.1290457737234592
repurchase_rate_2025,2025 回購率,2,臨行前快速投保客,0.15278219395866455,-1.302046941132434
