feature_set,k,feature_count,implementation,inertia,silhouette_sample,davies_bouldin,calinski_harabasz,min_cluster_share,max_cluster_share
A_RFM_only,2,3,scikit-learn,343475.6983759416,0.45618703535007704,1.1228609143779371,87615.7297914339,0.20558024204995104,0.7944197579500489
B_RFM_travel,3,6,scikit-learn,609637.6193080791,0.4375918331581322,0.9421333977950724,60307.915260494,0.046318558128486925,0.7714777329107984
B_RFM_travel,4,6,scikit-learn,466077.67812051787,0.4208930042424472,1.0242706597485185,70310.7666630488,0.04142310076531351,0.6244633825582675
C_RFM_purchase,3,5,scikit-learn,429065.07639438706,0.41976486919509987,1.084314437473529,87290.64966396101,0.15607529155490155,0.5848652156028944
A_RFM_only,5,3,scikit-learn,163477.57859221348,0.40325230948897994,0.9282051121171285,93532.17558666242,0.041173982816654985,0.5188489592083843
A_RFM_only,3,3,scikit-learn,264827.46219854953,0.39338791229861486,1.014475339616351,82448.21885502692,0.1601364934621022,0.6759381028799194
C_RFM_purchase,2,5,scikit-learn,583064.0042482886,0.3888145508530215,1.153102920715126,82882.5362520535,0.29866924667891015,0.7013307533210899
A_RFM_only,4,3,scikit-learn,198529.1957610373,0.3863657525372894,0.9489840534304996,92534.18097770085,0.12752521595050084,0.5299086374406896
B_RFM_travel,5,6,scikit-learn,400780.1660848586,0.3845843850192707,0.984594330994021,68354.63725432109,0.036805728554131015,0.528008388902085
B_RFM_travel,2,6,scikit-learn,772833.3496312132,0.3837622249789073,1.0681300815269423,58697.84290030131,0.18311907258601812,0.8168809274139819
C_RFM_purchase,4,5,scikit-learn,367414.40192043944,0.3824621403854846,1.0798597874408509,77612.21646799776,0.10033080546205586,0.508907415024709
D_RFM_value,2,5,scikit-learn,591358.9978237321,0.3727100356297821,1.0758036130412765,79298.82233670844,0.21176763668174892,0.7882323633182511
D_RFM_value,3,5,scikit-learn,448170.77729292726,0.35931661480438776,1.15425020610563,79890.4258211387,0.16982312625645243,0.6326379273386672
B_RFM_travel,6,6,scikit-learn,350297.6201006493,0.35871955113106885,0.9634085227443626,67538.92606442877,0.035728148590166216,0.46677172105741876
C_RFM_purchase,6,5,scikit-learn,289385.9072783496,0.3383238550957298,1.1234674548520491,68430.91728547365,0.04146944829064533,0.37882149829962514
A_RFM_only,6,3,scikit-learn,141442.56540779333,0.33790470345270707,0.9715032650669483,91860.76625895052,0.04059463875000724,0.3159221129836799
C_RFM_purchase,5,5,scikit-learn,320834.7661269482,0.3311148520261183,1.1040794124598396,72924.97281239963,0.08829203575711579,0.4045154076554525
D_RFM_value,6,5,scikit-learn,286797.07429576304,0.3122161160463039,1.089423192904874,69360.09769182658,0.038480032906742984,0.32316391381677667
E_RFM_selected_all,6,10,scikit-learn,773569.0310876596,0.3071043540799971,1.2738940880994953,42505.90878086383,0.03861328204207196,0.4345543975111379
E_RFM_selected_all,5,10,scikit-learn,855565.306660113,0.30034866599601473,1.229876747075943,43905.01332276144,0.038833432787398106,0.43569570532243396
E_RFM_selected_all,4,10,scikit-learn,981406.7507006567,0.283521623955044,1.2644814397965294,43656.51831747947,0.042894634694598775,0.5160449339258092
D_RFM_value,5,5,scikit-learn,319552.5013753305,0.28281594953077943,1.0769287395624245,73390.30137889579,0.0933960569842824,0.33267674339113257
D_RFM_value,4,5,scikit-learn,378143.7289454022,0.27389010005449965,1.1760772439669611,73777.9047330598,0.11697536049684547,0.3654154765973964
E_RFM_selected_all,2,10,scikit-learn,1362977.6147638913,0.2709028930113521,1.525316052695596,45983.163095207514,0.229315968460509,0.7706840315394909
E_RFM_selected_all,3,10,scikit-learn,1132075.8479746245,0.2690756855548828,1.4670237868525444,45283.5008006091,0.2039464917820044,0.5431814100075895
